date,País,Estado,População,Confirmados,Confirmados_1d,Média_Móvel_Confirmados_7d,Taxa_MM_Confirmados_7d_14d,Tendência_Confirmados,Mortes,Mortes_1d,Média_Móvel_Mortes_7d,Taxa_MM_Mortes_7d_14d,Tendência_Mortes,Mês,Ano
2021-01-01,Brazil,Acre,881935,41689,,,,,796,,,,,2021-01,2021
2021-01-02,Brazil,Acre,881935,41941,252.0,,,,798,2.0,,,,2021-01,2021
2021-01-03,Brazil,Acre,881935,42046,105.0,,,,802,4.0,,,,2021-01,2021
2021-01-04,Brazil,Acre,881935,42117,71.0,,,,806,4.0,,,,2021-01,2021
2021-01-05,Brazil,Acre,881935,42170,53.0,,,,808,2.0,,,,2021-01,2021
2021-01-06,Brazil,Acre,881935,42378,208.0,,,,814,6.0,,,,2021-01,2021
2021-01-07,Brazil,Acre,881935,42478,100.0,,,,821,7.0,,,,2021-01,2021
2021-01-08,Brazil,Acre,881935,42814,336.0,161.0,,,823,2.0,4.0,,,2021-01,2021
2021-01-09,Brazil,Acre,881935,42908,94.0,139.0,,,823,0.0,4.0,,,2021-01,2021
2021-01-10,Brazil,Acre,881935,43127,219.0,155.0,,,825,2.0,4.0,,,2021-01,2021
2021-01-11,Brazil,Acre,881935,43346,219.0,176.0,,,826,1.0,3.0,,,2021-01,2021
2021-01-12,Brazil,Acre,881935,43432,86.0,181.0,,,827,1.0,3.0,,,2021-01,2021
2021-01-13,Brazil,Acre,881935,43785,353.0,201.0,,,829,2.0,3.0,,,2021-01,2021
2021-01-14,Brazil,Acre,881935,44068,283.0,228.0,,,832,3.0,2.0,,,2021-01,2021
2021-01-15,Brazil,Acre,881935,44156,88.0,192.0,,,835,3.0,2.0,,,2021-01,2021
2021-01-16,Brazil,Acre,881935,44621,465.0,245.0,,,835,0.0,2.0,,,2021-01,2021
2021-01-17,Brazil,Acre,881935,44767,146.0,235.0,,,836,1.0,2.0,,,2021-01,2021
2021-01-18,Brazil,Acre,881935,44775,8.0,205.0,,,837,1.0,2.0,,,2021-01,2021
2021-01-19,Brazil,Acre,881935,45208,433.0,254.0,,,839,2.0,2.0,,,2021-01,2021
2021-01-20,Brazil,Acre,881935,45429,221.0,235.0,,,840,1.0,2.0,,,2021-01,2021
2021-01-21,Brazil,Acre,881935,45729,300.0,238.0,,,844,4.0,2.0,,,2021-01,2021
2021-01-22,Brazil,Acre,881935,45987,258.0,262.0,1.6273291925465838,Crescendo,846,2.0,2.0,0.5,Decrescendo,2021-01,2021
2021-01-23,Brazil,Acre,881935,46239,252.0,232.0,1.669064748201439,Crescendo,848,2.0,2.0,0.5,Decrescendo,2021-01,2021
2021-01-24,Brazil,Acre,881935,46429,190.0,238.0,1.535483870967742,Crescendo,850,2.0,2.0,0.5,Decrescendo,2021-01,2021
2021-01-25,Brazil,Acre,881935,46539,110.0,252.0,1.431818181818182,Crescendo,854,4.0,3.0,1.0,Estável,2021-01,2021
